Support_ID;Stations_ANFR_Orange;Nb_stations_orange;Exploitant_Orange;Latitude;Longitude;Hauteur_m;Nature_support;Proprietaire;Adresse;Code_postal;Code_INSEE;Departement;Technologies_systemes
1284670;0012290309;1;Orange;46.1947222;5.2236111;19.0;Bâtiment;Société HLM;11-17 rue de Crouy - Domaine de Crouy;01000;01053;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
134520;0012290139;1;Orange;46.1994444;5.21;19.0;Immeuble;Particulier;22 r de montholon - ctre activite;01000;01053;01;GSM 900 | LTE 800 | UMTS 900
1690726;0012290010;1;Orange;46.2147222;5.2397222;29.0;Bâtiment;ORANGE;12 Rue Juliette Récamier;01000;01053;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
2038427;0012290342;1;Orange;46.2025;5.2213889;22.0;Immeuble;Copropriété, Syndic, SCI;26 av alsace lorraine - La Poste;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
260275;0012290169;1;Orange;46.2033333;5.2413889;30.0;Immeuble;Société HLM;52-54 Av Amédée Mercier - HLM;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 2100
260376;0012290170;1;Orange;46.2086111;5.2436111;16.0;Immeuble;Société HLM;13 Allée des Peupliers;01000;01053;01;LTE 1800 | LTE 2100
2907944;0012290154;1;Orange;46.1927778;5.2147222;20.0;Château d'eau - réservoir;Syndicat des eaux, Adduction;25 AV DE LYON;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
3014687;0012290488;1;Orange;46.2197222;5.2508333;25.0;Pylône autostable;ORANGE;519 Avenue de Parme - Chemin du Plan;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
306670;0012290202;1;Orange;46.1830556;5.2355556;30.0;Pylône autostable;TOTEM;rte de seillon - Stand de tir;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
3108816;0012290261;1;Orange;46.1988889;5.2136111;20.4;Immeuble;Société HLM;34-36 RUE DU PELOUX;01000;01053;01;LTE 1800 | LTE 2100
614565;0012290099;1;Orange;46.2069444;5.2380556;28.0;Immeuble;Société HLM;Bd John Kennedy - Résidence Balnéa - Bât. 151;01000;01053;01;5G NR 3500 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
614567;0012290122;1;Orange;46.2019444;5.2313889;24.0;Immeuble;Copropriété, Syndic, SCI;62, bd  victor hugo - RÉSIDENCE LE BROU VICTOR HUGO;01000;01053;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
614593;0012290123;1;Orange;46.2241667;5.2219444;25.0;Bâtiment;Particulier;10 r joseph mandrillon - Paintball Le Tribal;01000;01053;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
614603;0012290129;1;Orange;46.1972222;5.2533333;20.0;Immeuble;Société HLM;Les Prés de Brou - 2 r auguste renoir - Foyer A.D.A.P.E.I.;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
614605;0012290130;1;Orange;46.2111111;5.2225;28.0;Immeuble;Copropriété, Syndic, SCI;23 r aristide briand - imm saiem;01000;01053;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
614607;0012290153;1;Orange;46.1886111;5.2466667;24.0;Pylône tubulaire;TOTEM;9071 av du maréchal juin - Parc des expositions;01000;01053;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
614613;0012290167;1;Orange;46.2066667;5.2252778;20.0;Bâtiment;Commune, communauté de commune;r des remparts - (adm)17 Cours de Verdun - Théâtre Municipal;01000;01053;01;LTE 1800 | LTE 2100 | LTE 2600
614615;0012290173;1;Orange;46.1944444;5.2347222;20.0;Bâtiment;Société HLM;390 bd  du 8 mai 1945;01000;01053;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
895199;0012290182;1;Orange;46.2197222;5.2272222;17.3;Immeuble;Société HLM;29 av de Marboz;01000;01053;01;LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
2942055;0012290478;1;Orange;46.0294444;5.4536111;30.0;Pylône autostable;TOTEM;IMP DE LA COLOMBIERE;01640;01056;01;LTE 700 | LTE 800 | UMTS 900
2953861;0010220181;1;Orange service fixe;46.0294444;5.4536111;30.0;Pylône autostable;TOTEM;IMP DE LA COLOMBIERE;01640;01056;01;FH
2898361;0010220183 | 0012290471;2;Orange | Orange service fixe;45.6447222;5.6147222;36.0;Pylône autostable;TOTEM;Les Bonnes - Chemin rural des Bonnes;01300;01058;01;FH | LTE 700 | LTE 800 | UMTS 900
363440;0012290292;1;Orange;46.0602778;5.5844444;20.4;Pylône autostable;Conseil Départemental;FERRIERES - chem forestier de tre ferrieres;01110;01060;01;LTE 700 | LTE 800 | UMTS 900
720811;0012290353;1;Orange;45.7205556;5.6908333;30.0;Pylône autostable;TDF;Le Replat;01300;01061;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2899756;0012290472;1;Orange;45.7791667;5.4925;24.0;Pylône autostable;TOTEM;La Roche - chemin de la desserte;01470;01064;01;LTE 700 | LTE 800 | UMTS 900
753437;0012290124;1;Orange;46.2025;5.1566667;21.0;Pylône tubulaire;TOTEM;chem des champs - Stade Legrand Foisy;01310;01065;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
1332575;0012290055;1;Orange;45.8830556;5.5358333;28.0;Pylône autostable;SNCF Réseau;Le Grand Journal;01510;01066;01;GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2488930;0012290424;1;Orange;45.8697222;5.5358333;39.0;Pylône autostable;TDF;Les Echanaux - vers Bief de la valouse;01510;01066;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2860562;0012290466;1;Orange;46.1147222;5.4855556;45.0;Pylône autostable;ATC FRANCE;EN CHARMONT - Chemin communal;01430;01067;01;LTE 700 | LTE 800 | UMTS 900
753457;0012290038;1;Orange;46.0830556;5.4611111;30.0;Pylône autostable;TDF;Les Bugnots - Route de ST Alban - Station TDF;01450;01068;01;5G NR 2100 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2285893;0012290387;1;Orange;46.1408333;5.2827778;24.0;Pylône autostable;ATC FRANCE;Aux Varettes;01240;01069;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
1689587;0012290326;1;Orange;46.3097222;6.0775;30.0;Bâtiment;Ets public , Minist, Synd mixt;La Porcherie - D 15G - Site du CERN - LHC P.A.5 CMS;01170;01071;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
1673517;0012290151;1;Orange;46.1811111;5.3097222;33.3;Pylône autostable;TOTEM;ZA de Domagne - Ateliers Municipaux - ZI;01250;01072;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
2310426;0012290396;1;Orange;45.8305556;5.7194444;32.0;Pylône autostable;ATC FRANCE;ARCHAILLE - Route de la Pierre - D83;01350;01073;01;LTE 700 | LTE 800 | UMTS 900
2931506;0012290476;1;Orange;45.9958333;5.1666667;38.0;Pylône autostable;TDF;LE CHATEAU - 300 CHEM DU CH D'EAU;01320;01074;01;LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2684355;0012290452;1;Orange;46.0313889;4.8169444;42.0;Pylône autostable;ON TOWER FRANCE;En Matre - Chemin de tous vents;01480;01075;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 800
